name,hip_id
Achernar,7588
Acrux,60718
Adhara,33579
Aldebaran,21421
Algol,14576
Alioth,62956
Alkaid,67301
Alnilam,26311
Alnitak,26727
Altair,97649
Antares,80763
Arcturus,69673
Bellatrix,25336
Betelgeuse,27989
Canopus,30438
Capella,24608
Castor,36850
Deneb,102098
Denebola,57632
Dubhe,54061
Fomalhaut,113368
Hamal,9884
Markab,113963
Menkar,14135
Merak,53910
Mintaka,25930
Mira,10826
Mirach,5447
Mizar,65378
Polaris,11767
Pollux,37826
Procyon,37279
Regulus,49669
Rigel,24436
Rigil Kent,71683
Saiph,27366
Sirius,32349
Spica,65474
Vega,91262
